region,state,population,density
Sydney,NSW,241797.0,9064.1
Waverley,NSW,73345.0,7843.9
North Sydney,NSW,73705.0,7025.5
Burwood,NSW,43927.0,6162.4
Port Phillip,VIC,114434.0,5551.2
Inner West,NSW,193125.0,5484.7
Yarra,VIC,101356.0,5186.5
Melbourne,VIC,194481.0,5179.9
Canada Bay,NSW,93006.0,4668.1
Woollahra,NSW,55218.0,4504.5
Stonnington,VIC,114789.0,4475.0
Georges River,NSW,163919.0,4275.7
Glen Eira,VIC,163025.0,4213.5
Lane Cove,NSW,43094.0,4112.5
Randwick,NSW,146484.0,4031.9
Vincent,WA,42392.0,3726.1
Moreland,VIC,189108.0,3711.5
Bayside (NSW),NSW,187770.0,3709.4
Willoughby,NSW,80520.0,3590.5
Subiaco,WA,20038.0,3566.6
Canterbury-Bankstown,NSW,389687.0,3535.0
Cumberland,NSW,256906.0,3531.4
Strathfield,NSW,49203.0,3514.3
Ryde,NSW,141693.0,3500.8
Mosman,NSW,29374.0,3395.7
Parramatta,NSW,279014.0,3328.3
Darebin,VIC,162496.0,3038.9
Maribyrnong,VIC,94672.0,3031.9
Moonee Valley,VIC,130501.0,3025.2
Prospect,SA,23459.0,3010.8
