state,bachelor,income_trend
NSW,0.0,38337.57
NSW,1.0,39218.44
NSW,2.0,40099.32
NSW,3.0,40980.19
NSW,4.0,41861.07
NSW,5.0,42741.94
NSW,6.0,43622.81
NSW,7.0,44503.69
NSW,8.0,45384.56
NSW,9.0,46265.44
NSW,10.0,47146.31
NSW,11.0,48027.18
NSW,12.0,48908.06
NSW,13.0,49788.93
NSW,14.0,50669.81
NSW,15.0,51550.68
NSW,16.0,52431.56
NSW,17.0,53312.43
NSW,18.0,54193.3
NSW,19.0,55074.18
NSW,20.0,55955.05
NSW,21.0,56835.93
NSW,22.0,57716.8
NSW,23.0,58597.67
NSW,24.0,59478.55
NSW,25.0,60359.42
NSW,26.0,61240.3
NSW,27.0,62121.17
NSW,28.0,63002.04
NSW,29.0,63882.92
NSW,30.0,64763.79
NSW,31.0,65644.67
NSW,32.0,66525.54
NSW,33.0,67406.42
NSW,34.0,68287.29
NSW,35.0,69168.16
NSW,36.0,70049.04
NSW,37.0,70929.91
NSW,38.0,71810.79
NSW,39.0,72691.66
NSW,40.0,73572.53
NSW,41.0,74453.41
NSW,42.0,75334.28
NSW,43.0,76215.16
NSW,44.0,77096.03
NSW,45.0,77976.91
NSW,46.0,78857.78
NSW,47.0,79738.65
NSW,48.0,80619.53
NSW,49.0,81500.4
NSW,50.0,82381.28
NSW,51.0,83262.15
NSW,52.0,84143.02
NSW,53.0,85023.9
NSW,54.0,85904.77
NSW,55.0,86785.65
NSW,56.0,87666.52
NSW,57.0,88547.39
NSW,58.0,89428.27
NSW,59.0,90309.14
NSW,60.0,91190.02
NSW,61.0,92070.89
NSW,62.0,92951.77
NSW,63.0,93832.64
NSW,64.0,94713.51
NSW,65.0,95594.39
VIC,0.0,38924.65
VIC,1.0,39623.39
VIC,2.0,40322.13
VIC,3.0,41020.87
VIC,4.0,41719.61
VIC,5.0,42418.34
VIC,6.0,43117.08
VIC,7.0,43815.82
VIC,8.0,44514.56
VIC,9.0,45213.3
VIC,10.0,45912.04
VIC,11.0,46610.77
VIC,12.0,47309.51
VIC,13.0,48008.25
VIC,14.0,48706.99
VIC,15.0,49405.73
VIC,16.0,50104.46
VIC,17.0,50803.2
VIC,18.0,51501.94
VIC,19.0,52200.68
VIC,20.0,52899.42
VIC,21.0,53598.16
VIC,22.0,54296.89
VIC,23.0,54995.63
VIC,24.0,55694.37
VIC,25.0,56393.11
VIC,26.0,57091.85
VIC,27.0,57790.59
VIC,28.0,58489.32
VIC,29.0,59188.06
VIC,30.0,59886.8
VIC,31.0,60585.54
VIC,32.0,61284.28
VIC,33.0,61983.02
VIC,34.0,62681.75
VIC,35.0,63380.49
VIC,36.0,64079.23
VIC,37.0,64777.97
VIC,38.0,65476.71
VIC,39.0,66175.45
VIC,40.0,66874.18
VIC,41.0,67572.92
VIC,42.0,68271.66
VIC,43.0,68970.4
VIC,44.0,69669.14
VIC,45.0,70367.88
VIC,46.0,71066.61
VIC,47.0,71765.35
VIC,48.0,72464.09
VIC,49.0,73162.83
VIC,50.0,73861.57
VIC,51.0,74560.31
VIC,52.0,75259.04
VIC,53.0,75957.78
VIC,54.0,76656.52
VIC,55.0,77355.26
VIC,56.0,78054.0
VIC,57.0,78752.73
VIC,58.0,79451.47
VIC,59.0,80150.21
VIC,60.0,80848.95
VIC,61.0,81547.69
VIC,62.0,82246.43
VIC,63.0,82945.16
VIC,64.0,83643.9
VIC,65.0,84342.64
QLD,0.0,35152.9
QLD,1.0,36651.99
QLD,2.0,38151.07
QLD,3.0,39650.15
QLD,4.0,41149.23
QLD,5.0,42648.32
QLD,6.0,44147.4
QLD,7.0,45646.48
QLD,8.0,47145.57
QLD,9.0,48644.65
QLD,10.0,50143.73
QLD,11.0,51642.81
QLD,12.0,53141.9
QLD,13.0,54640.98
QLD,14.0,56140.06
QLD,15.0,57639.14
QLD,16.0,59138.23
QLD,17.0,60637.31
QLD,18.0,62136.39
QLD,19.0,63635.48
QLD,20.0,65134.56
QLD,21.0,66633.64
QLD,22.0,68132.72
