state,income,unemployment_trend
NSW,0.0,6.906
NSW,2000.0,6.811
NSW,4000.0,6.716
NSW,6000.0,6.62
NSW,8000.0,6.525
NSW,10000.0,6.43
NSW,12000.0,6.334
NSW,14000.0,6.239
NSW,16000.0,6.144
NSW,18000.0,6.049
NSW,20000.0,5.953
NSW,22000.0,5.858
NSW,24000.0,5.763
NSW,26000.0,5.668
NSW,28000.0,5.572
NSW,30000.0,5.477
NSW,32000.0,5.382
NSW,34000.0,5.287
NSW,36000.0,5.191
NSW,38000.0,5.096
NSW,40000.0,5.001
NSW,42000.0,4.905
NSW,44000.0,4.81
NSW,46000.0,4.715
NSW,48000.0,4.62
NSW,50000.0,4.524
NSW,52000.0,4.429
NSW,54000.0,4.334
NSW,56000.0,4.239
NSW,58000.0,4.143
NSW,60000.0,4.048
NSW,62000.0,3.953
NSW,64000.0,3.858
NSW,66000.0,3.762
NSW,68000.0,3.667
NSW,70000.0,3.572
NSW,72000.0,3.476
NSW,74000.0,3.381
NSW,76000.0,3.286
NSW,78000.0,3.191
NSW,80000.0,3.095
NSW,82000.0,3.0
NSW,84000.0,2.905
NSW,86000.0,2.81
NSW,88000.0,2.714
NSW,90000.0,2.619
NSW,92000.0,2.524
NSW,94000.0,2.428
NSW,96000.0,2.333
NSW,98000.0,2.238
NSW,100000.0,2.143
NSW,102000.0,2.047
NSW,104000.0,1.952
NSW,106000.0,1.857
NSW,108000.0,1.762
NSW,110000.0,1.666
NSW,112000.0,1.571
NSW,114000.0,1.476
NSW,116000.0,1.381
NSW,118000.0,1.285
NSW,120000.0,1.19
VIC,0.0,2.767
VIC,2000.0,2.825
VIC,4000.0,2.883
VIC,6000.0,2.94
VIC,8000.0,2.998
VIC,10000.0,3.056
VIC,12000.0,3.114
VIC,14000.0,3.172
VIC,16000.0,3.23
VIC,18000.0,3.287
VIC,20000.0,3.345
VIC,22000.0,3.403
VIC,24000.0,3.461
VIC,26000.0,3.519
VIC,28000.0,3.577
VIC,30000.0,3.634
VIC,32000.0,3.692
VIC,34000.0,3.75
VIC,36000.0,3.808
VIC,38000.0,3.866
VIC,40000.0,3.924
VIC,42000.0,3.981
VIC,44000.0,4.039
VIC,46000.0,4.097
VIC,48000.0,4.155
VIC,50000.0,4.213
VIC,52000.0,4.271
VIC,54000.0,4.328
VIC,56000.0,4.386
VIC,58000.0,4.444
VIC,60000.0,4.502
VIC,62000.0,4.56
VIC,64000.0,4.618
VIC,66000.0,4.675
VIC,68000.0,4.733
VIC,70000.0,4.791
VIC,72000.0,4.849
VIC,74000.0,4.907
VIC,76000.0,4.965
VIC,78000.0,5.022
VIC,80000.0,5.08
VIC,82000.0,5.138
VIC,84000.0,5.196
VIC,86000.0,5.254
VIC,88000.0,5.311
VIC,90000.0,5.369
VIC,92000.0,5.427
VIC,94000.0,5.485
VIC,96000.0,5.543
VIC,98000.0,5.601
VIC,100000.0,5.658
VIC,102000.0,5.716
VIC,104000.0,5.774
VIC,106000.0,5.832
VIC,108000.0,5.89
VIC,110000.0,5.948
VIC,112000.0,6.005
VIC,114000.0,6.063
VIC,116000.0,6.121
VIC,118000.0,6.179
VIC,120000.0,6.237
QLD,0.0,21.553
QLD,2000.0,20.918
QLD,4000.0,20.283
QLD,6000.0,19.648
QLD,8000.0,19.013
QLD,10000.0,18.378
QLD,12000.0,17.743
QLD,14000.0,17.107
QLD,16000.0,16.472
QLD,18000.0,15.837
QLD,20000.0,15.202
QLD,22000.0,14.567
