region,state,population,density
Brisbane,QLD,1375301.0,1024.3
Gold Coast,QLD,691230.0,518.4
Moreton Bay,QLD,532445.0,260.8
Unincorporated ACT,ACT,484630.0,205.5
Blacktown,NSW,449385.0,1881.5
Casey,VIC,414929.0,1013.4
Logan,QLD,403515.0,421.1
Canterbury-Bankstown,NSW,389687.0,3535.0
Sunshine Coast,QLD,381957.0,169.5
Central Coast (NSW),NSW,357816.0,212.9
Wyndham,VIC,347830.0,641.6
Greater Geelong,VIC,295052.0,236.4
Parramatta,NSW,279014.0,3328.3
Hume,VIC,278885.0,553.5
Northern Beaches,NSW,272656.0,1072.6
Ipswich,QLD,268272.0,245.3
Liverpool,NSW,261231.0,854.4
Whittlesea,VIC,259759.0,530.5
Cumberland,NSW,256906.0,3531.4
Stirling,WA,254821.0,2433.2
Wanneroo,WA,246147.0,360.3
Sydney,NSW,241797.0,9064.1
Sutherland Shire,NSW,241327.0,723.4
Penrith,NSW,231701.0,572.5
Melton,VIC,231567.0,439.0
Lake Macquarie,NSW,224540.0,346.2
Wollongong,NSW,224327.0,327.8
The Hills Shire,NSW,222675.0,576.6
Fairfield,NSW,213677.0,2105.0
Monash,VIC,211833.0,2599.7
