region,state,population,income,unemployment,bachelor,jobs
Albury,NSW,56067.0,51304.0,4.8,13.1,46126.0
Armidale Regional,NSW,29332.0,46373.0,5.3,15.0,23126.0
Ballina,NSW,46196.0,45385.0,3.4,16.1,37154.0
Balranald,NSW,2208.0,48289.0,3.1,6.3,2226.0
Bathurst Regional,NSW,43674.0,53348.0,4.0,13.0,35508.0
Bayside (NSW),NSW,176229.0,53382.0,5.5,22.5,155496.0
Bega Valley,NSW,35770.0,41559.0,3.5,12.4,26761.0
Bellingen,NSW,13203.0,39523.0,5.3,15.0,9874.0
Berrigan,NSW,8615.0,42297.0,3.1,8.0,6859.0
Blacktown,NSW,399925.0,57353.0,5.8,19.4,316365.0
Bland,NSW,5544.0,46040.0,2.9,8.1,4905.0
Blayney,NSW,7511.0,51646.0,4.3,11.1,6348.0
Blue Mountains,NSW,78372.0,54473.0,3.9,19.9,60678.0
Bogan,NSW,2480.0,49513.0,3.2,8.5,2471.0
Bourke,NSW,2416.0,53673.0,2.7,9.9,2126.0
Brewarrina,NSW,1487.0,46778.0,7.1,6.9,1091.0
Broken Hill,NSW,17662.0,52310.0,5.5,7.1,12743.0
Burwood,NSW,40440.0,43967.0,7.1,24.3,37107.0
Byron,NSW,36106.0,39089.0,5.1,21.4,35999.0
Cabonne,NSW,13767.0,48858.0,2.6,12.5,12275.0
Camden,NSW,120083.0,62213.0,3.5,14.7,94633.0
Campbelltown (NSW),NSW,177778.0,53564.0,6.4,13.8,134301.0
Canada Bay,NSW,89685.0,63761.0,4.1,27.3,76759.0
Canterbury-Bankstown,NSW,372459.0,46292.0,7.2,16.2,263005.0
Carrathool,NSW,2873.0,44937.0,2.7,9.4,2929.0
Central Coast (NSW),NSW,348493.0,50442.0,4.7,12.6,261030.0
Central Darling,NSW,1758.0,41405.0,7.4,5.5,1122.0
Cessnock,NSW,64120.0,51489.0,5.6,7.1,46134.0
Clarence Valley,NSW,54212.0,41006.0,6.2,8.5,36337.0
Cobar,NSW,4098.0,58076.0,3.2,7.5,3518.0
Coffs Harbour,NSW,78781.0,44049.0,5.3,12.9,64451.0
Coolamon,NSW,4403.0,48975.0,3.5,9.1,3709.0
Coonamble,NSW,3833.0,45085.0,6.7,7.8,3105.0
Cootamundra-Gundagai Regional,NSW,11390.0,46150.0,4.0,8.0,8880.0
Cowra,NSW,12759.0,43160.0,5.1,7.8,9780.0
Cumberland,NSW,237083.0,45968.0,8.3,17.5,186335.0
Dubbo Regional,NSW,55528.0,53335.0,3.6,11.8,47755.0
Dungog,NSW,9532.0,47424.0,3.4,10.9,7492.0
Edward River,NSW,8437.0,45395.0,3.6,9.1,7301.0
Eurobodalla,NSW,40464.0,39792.0,4.1,11.0,27160.0
