Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Net internal migration (no.),Net overseas migration (no.),Median household income (weekly $),Median employee income ($),Median total income ($),Unemployment rate (%),Participation rate (%),Completed year 12 (%),Bachelor degree (%),Number of jobs,State,Migration total,Opportunity score,Pressure score
17750,Wagga Wagga,2025,69108.0,14.3,42.209981718464356,-754.0,310.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-444.0,53.466012963270735,34.154063486787436
62610,Glenorchy,2025,50450.0,416.4,42.209981718464356,-765.0,346.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,TAS,-419.0,53.466012963270735,37.54071796576367
21180,Brimbank,2025,198181.0,1606.0,42.209981718464356,-3534.0,3131.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,-403.0,53.466012963270735,56.41723450224364
35300,Mount Isa,2025,18585.0,0.4,42.209981718464356,-547.0,163.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,-384.0,53.466012963270735,26.365298321422635
47140,Salisbury,2025,151019.0,944.8,42.209981718464356,-2031.0,1810.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,SA,-221.0,53.466012963270735,55.98429449891973
33980,Isaac,2025,23186.0,0.4,42.209981718464356,-301.0,93.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,-208.0,53.466012963270735,26.574705002492937
54280,Kalgoorlie-Boulder,2025,31268.0,0.3,42.209981718464356,-593.0,396.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,WA,-197.0,53.466012963270735,26.004653481801565
64010,Launceston,2025,71341.0,50.5,42.209981718464356,-708.0,512.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,TAS,-196.0,53.466012963270735,36.06406847266079
13450,Griffith,2025,27458.0,16.8,42.209981718464356,-415.0,226.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-189.0,53.466012963270735,34.79765663952136
48540,Whyalla,2025,21720.0,20.3,42.209981718464356,-237.0,62.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,SA,-175.0,53.466012963270735,35.093485125477805
14850,Lismore,2025,43642.0,33.9,42.209981718464356,-323.0,149.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-174.0,53.466012963270735,35.8388731926209
15300,Moree Plains,2025,12845.0,0.7,42.209981718464356,-160.0,20.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-140.0,53.466012963270735,28.289429948479306
18500,Woollahra,2025,55218.0,4504.5,42.209981718464356,-956.0,837.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-119.0,53.466012963270735,58.969170683064654
32270,Central Highlands (Qld),2025,29481.0,0.5,42.209981718464356,-237.0,120.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,-117.0,53.466012963270735,27.657055010802722
17900,Walgett,2025,5437.0,0.2,42.209981718464356,-112.0,9.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,-103.0,53.466012963270735,25.622403190958952
27070,Whittlesea,2025,259759.0,530.5,42.209981718464356,2002.0,3077.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,5079.0,53.466012963270735,74.55916569719129
58050,Swan,2025,187090.0,179.4,42.209981718464356,3441.0,2047.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,WA,5488.0,53.466012963270735,56.161293003157716
58760,Wanneroo,2025,246147.0,360.3,42.209981718464356,2625.0,3175.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,WA,5800.0,53.466012963270735,56.8626391889646
17420,The Hills Shire,2025,222675.0,576.6,42.209981718464356,3775.0,2036.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,5811.0,53.466012963270735,74.78768489280372
10750,Blacktown,2025,449385.0,1881.5,42.209981718464356,839.0,4994.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,5833.0,53.466012963270735,76.19868705334885
21610,Casey,2025,414929.0,1013.4,42.209981718464356,1825.0,4382.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,6207.0,53.466012963270735,75.36438424464018
24600,Melbourne,2025,194481.0,5179.9,42.209981718464356,-2283.0,8647.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,6364.0,53.466012963270735,77.93377098221704
33960,Ipswich,2025,268272.0,245.3,42.209981718464356,4893.0,1725.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,6618.0,53.466012963270735,56.584261259764
36720,Sunshine Coast,2025,381957.0,169.5,42.209981718464356,4159.0,2920.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,7079.0,53.466012963270735,56.22860229350174
27260,Wyndham,2025,347830.0,641.6,42.209981718464356,2379.0,5351.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,7730.0,53.466012963270735,74.97299318597307
34590,Logan,2025,403515.0,421.1,42.209981718464356,5105.0,3312.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,8417.0,53.466012963270735,57.13769320259266
35010,Moreton Bay,2025,532445.0,260.8,42.209981718464356,5195.0,3822.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,9017.0,53.466012963270735,56.68647166361974
24650,Melton,2025,231567.0,439.0,42.209981718464356,7441.0,1647.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,9088.0,53.466012963270735,57.19336878843278
33430,Gold Coast,2025,691230.0,518.4,42.209981718464356,658.0,8986.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,9644.0,53.466012963270735,74.47606780787768
31000,Brisbane,2025,1375301.0,1024.3,42.209981718464356,-7203.0,23684.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,16481.0,53.466012963270735,75.52891806548114
