Code,Label,Year,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Net internal migration (no.),Net overseas migration (no.),Median household income (weekly $),Median employee income ($),Median total income ($),Unemployment rate (%),Participation rate (%),Completed year 12 (%),Bachelor degree (%),Number of jobs,State,Migration total,Opportunity score,Pressure score
31000,Brisbane,2025,1375301.0,1024.3,42.209981718464356,-7203.0,23684.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,16481.0,53.466012963270735,75.52891806548114
33430,Gold Coast,2025,691230.0,518.4,42.209981718464356,658.0,8986.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,9644.0,53.466012963270735,74.47606780787768
35010,Moreton Bay,2025,532445.0,260.8,42.209981718464356,5195.0,3822.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,9017.0,53.466012963270735,56.68647166361974
89399,Unincorporated ACT,2025,484630.0,205.5,42.209981718464356,-1501.0,4819.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,ACT,3318.0,53.466012963270735,56.07985707163038
10750,Blacktown,2025,449385.0,1881.5,42.209981718464356,839.0,4994.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,5833.0,53.466012963270735,76.19868705334885
21610,Casey,2025,414929.0,1013.4,42.209981718464356,1825.0,4382.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,6207.0,53.466012963270735,75.36438424464018
34590,Logan,2025,403515.0,421.1,42.209981718464356,5105.0,3312.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,8417.0,53.466012963270735,57.13769320259266
11570,Canterbury-Bankstown,2025,389687.0,3535.0,42.209981718464356,-4541.0,5825.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1284.0,53.466012963270735,76.58675419644341
36720,Sunshine Coast,2025,381957.0,169.5,42.209981718464356,4159.0,2920.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,7079.0,53.466012963270735,56.22860229350174
11650,Central Coast (NSW),2025,357816.0,212.9,42.209981718464356,238.0,1823.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,2061.0,53.466012963270735,55.828070467010136
27260,Wyndham,2025,347830.0,641.6,42.209981718464356,2379.0,5351.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,7730.0,53.466012963270735,74.97299318597307
22750,Greater Geelong,2025,295052.0,236.4,42.209981718464356,3281.0,1524.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,4805.0,53.466012963270735,56.36903772644174
16260,Parramatta,2025,279014.0,3328.3,42.209981718464356,-4567.0,6151.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1584.0,53.466012963270735,76.60337377430612
23270,Hume,2025,278885.0,553.5,42.209981718464356,1527.0,3370.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,4897.0,53.466012963270735,74.63561575535981
15990,Northern Beaches,2025,272656.0,1072.6,42.209981718464356,-2600.0,3324.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,724.0,53.466012963270735,73.90518530829317
33960,Ipswich,2025,268272.0,245.3,42.209981718464356,4893.0,1725.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,QLD,6618.0,53.466012963270735,56.584261259764
14900,Liverpool,2025,261231.0,854.4,42.209981718464356,1177.0,2358.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,3535.0,53.466012963270735,74.9596975236829
27070,Whittlesea,2025,259759.0,530.5,42.209981718464356,2002.0,3077.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,5079.0,53.466012963270735,74.55916569719129
12380,Cumberland,2025,256906.0,3531.4,42.209981718464356,-4093.0,5685.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1592.0,53.466012963270735,76.78120325743726
57910,Stirling,2025,254821.0,2433.2,42.209981718464356,-1948.0,4592.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,WA,2644.0,53.466012963270735,76.35491108525842
58760,Wanneroo,2025,246147.0,360.3,42.209981718464356,2625.0,3175.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,WA,5800.0,53.466012963270735,56.8626391889646
17200,Sydney,2025,241797.0,9064.1,42.209981718464356,-3965.0,7305.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,3340.0,53.466012963270735,77.87144756523185
17150,Sutherland Shire,2025,241327.0,723.4,42.209981718464356,120.0,1611.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1731.0,53.466012963270735,74.3431111849759
16350,Penrith,2025,231701.0,572.5,42.209981718464356,-265.0,1332.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1067.0,53.466012963270735,73.66835632374938
24650,Melton,2025,231567.0,439.0,42.209981718464356,7441.0,1647.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,9088.0,53.466012963270735,57.19336878843278
14650,Lake Macquarie,2025,224540.0,346.2,42.209981718464356,1535.0,615.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,2150.0,53.466012963270735,56.34660129632707
18450,Wollongong,2025,224327.0,327.8,42.209981718464356,-112.0,1673.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,1561.0,53.466012963270735,55.97930862556091
17420,The Hills Shire,2025,222675.0,576.6,42.209981718464356,3775.0,2036.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,5811.0,53.466012963270735,74.78768489280372
12850,Fairfield,2025,213677.0,2105.0,42.209981718464356,-2463.0,2906.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,NSW,443.0,53.466012963270735,63.493850756190795
24970,Monash,2025,211833.0,2599.7,42.209981718464356,-2976.0,6089.0,829.5825716026812,51362.68905317535,49669.19890151097,6.1556027024052264,58.07239488117001,42.03150517976843,10.745169645769778,38781.39796843893,VIC,3113.0,53.466012963270735,76.55933189296992
