state,metric,value,unit,normalised
NSW,Bachelor degree,13.83953488372093,%,0.362181310915732
NSW,Median density,9.1,people/km²,0.03890641430073606
NSW,Median income,50528.457364341084,$,0.2492050227401798
NSW,Net migration,-23944.88157894737,people,0.5816075011075308
NSW,Population,8097062.0,people,1.0
NSW,Unemployment,4.49922480620155,%,0.09196288621088344
VIC,Bachelor degree,15.407499999999999,%,0.4587095501183898
VIC,Median density,28.9,people/km²,0.1430073606729758
VIC,Median income,49690.4625,$,0.2164609524260006
VIC,Net migration,-74875.29385964913,people,0.0
VIC,Population,6547822.0,people,0.802617203838851
VIC,Unemployment,4.20375,%,0.05310168486348236
QLD,Bachelor degree,7.956410256410257,%,0.0
QLD,Median density,7.05,people/km²,0.02812828601472134
QLD,Median income,46240.333333333336,$,0.08164953909453194
QLD,Net migration,12693.061403508771,people,1.0
QLD,Population,5215814.0,people,0.6329111134015917
QLD,Unemployment,8.126923076923077,%,0.5690821192799961
SA,Bachelor degree,11.39718309859155,%,0.2118234267483353
SA,Median density,12.2,people/km²,0.055205047318611984
SA,Median income,46577.90140845071,$,0.09483977838813024
SA,Net migration,-4983.910087719298,people,0.7981351660870444
SA,Population,1802601.0,people,0.19804658251316648
SA,Unemployment,5.029061987451511,%,0.16164770857049013
WA,Bachelor degree,11.358992805755395,%,0.20947232742614114
WA,Median density,1.7,people/km²,0.0
WA,Median income,51818.21770524757,$,0.2996015169051992
WA,Net migration,-7123.995614035088,people,0.7736961376288249
WA,Population,2751685.0,people,0.3189657775454455
WA,Unemployment,4.585277729757045,%,0.10328067005788087
TAS,Bachelor degree,10.686206896551724,%,0.1680537789510927
TAS,Median density,5.9,people/km²,0.022082018927444793
TAS,Median income,45805.75862068965,$,0.06466883246602788
TAS,Net migration,-1939.0285087719299,people,0.8329066491164673
TAS,Population,567239.0,people,0.04065379260893645
TAS,Unemployment,5.693103448275862,%,0.24898323894567545
NT,Bachelor degree,9.519953730480045,%,0.09625603076357027
NT,Median density,81.9,people/km²,0.4216614090431125
NT,Median income,44150.73684210526,$,0.0
NT,Net migration,-4548.175438596491,people,0.8031111034312294
NT,Population,248151.0,people,0.0
NT,Unemployment,11.4033369004767,%,1.0
ACT,Bachelor degree,24.2,%,1.0
ACT,Median density,191.9,people/km²,1.0
ACT,Median income,69743.0,$,1.0
ACT,Net migration,-2920.0,people,0.8217042976702161
ACT,Population,452508.0,people,0.026036350775285898
ACT,Unemployment,3.8,%,0.0
