City,Label,State,Year,Unemployment rate (%),Median household income (weekly $),Estimated resident population (no.)
Sydney,Sydney,NSW,2011,5.8,1208.0,48391.60359536868
Sydney,Sydney,NSW,2016,6.0,1363.0,48391.60359536868
Sydney,Sydney,NSW,2021,5.6,1673.0,214703.0
Melbourne,Melbourne,VIC,2011,8.1,1012.0,48391.60359536868
Melbourne,Melbourne,VIC,2016,10.9,969.0,48391.60359536868
Melbourne,Melbourne,VIC,2021,7.6,1267.0,153110.0
Brisbane,Brisbane,QLD,2011,5.3,951.0,48391.60359536868
Brisbane,Brisbane,QLD,2016,6.8,1065.0,48391.60359536868
Brisbane,Brisbane,QLD,2021,5.0,1284.0,1262968.0
Adelaide,Adelaide,SA,2011,9.1,878.0,48391.60359536868
Adelaide,Adelaide,SA,2016,12.0,945.0,48391.60359536868
Adelaide,Adelaide,SA,2021,9.3,1129.0,25522.0
Perth,Perth,WA,2011,6.0,1309.0,48391.60359536868
Perth,Perth,WA,2016,10.4,1292.0,48391.60359536868
Perth,Perth,WA,2021,6.1,1468.0,29653.0
Hobart,Hobart,TAS,2011,5.5,861.0,48391.60359536868
Hobart,Hobart,TAS,2016,6.7,981.0,48391.60359536868
Hobart,Hobart,TAS,2021,7.0,1194.0,55947.0
Darwin,Darwin,NT,2011,3.6,1120.0,48391.60359536868
Darwin,Darwin,NT,2016,4.6,1335.0,48391.60359536868
Darwin,Darwin,NT,2021,4.1,1396.0,84854.0
Canberra,Unincorporated ACT,ACT,2011,3.6,1179.0,48391.60359536868
Canberra,Unincorporated ACT,ACT,2016,4.7,1297.0,48391.60359536868
Canberra,Unincorporated ACT,ACT,2021,3.8,1553.0,452508.0
