Location,avg_MinTemp,avg_MaxTemp,avg_Rainfall,avg_Evaporation,avg_Sunshine,avg_Humidity9am,avg_Humidity3pm,avg_WindGustSpeed,avg_Pressure9am,avg_Pressure3pm,rain_probability,observations,wind_N,wind_NNE,wind_NE,wind_ENE,wind_E,wind_ESE,wind_SE,wind_SSE,wind_S,wind_SSW,wind_SW,wind_WSW,wind_W,wind_WNW,wind_NW,wind_NNW,dominant_wind,lat,lon,climate_profile,city_scope
Adelaide,12.525310059715205,22.78106617647059,1.5255419415645617,5.756786941580756,7.755278470490442,60.06988505747126,44.996780128794846,36.50323774283071,1018.7115508513576,1016.777772664519,0.2309458218549127,2178,184,79,49,54,52,102,128,139,50,74,285,378,232,136,111,125,WSW,-34.9285,138.6007,Warm temperate,Main city
Albany,12.901591248135256,20.00374384236453,2.208439646712463,4.21554599246907,6.629655575014594,74.8355621594849,67.52088607594938,40.00855815115693,1018.3726155358898,1016.5845624385448,0.2920526572403705,2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,-35.0275,117.884,Cool temperate,Other location
Albury,9.497053320860616,22.529285380663243,2.039530516431925,5.4340981290171415,7.647679004727114,74.31200373657168,48.1033193080879,32.85473289597001,1018.3820728291316,1015.7602150537635,0.2068160597572362,2142,117,109,102,114,87,85,192,140,43,39,86,159,361,282,123,103,W,-36.0737,146.9135,Warm temperate,Other location
AliceSprings,13.219641170915958,29.295516753185463,0.8812677388836329,9.02409392547218,9.54570938215103,39.83412098298677,24.25390070921986,40.46028708133972,1016.6101038715768,1012.8044874822862,0.0806984426616328,2119,94,41,56,126,329,464,273,167,135,87,63,42,44,36,61,101,ESE,-23.698,133.8807,Hot dry/interior,Other location
BadgerysCreek,11.13257874015748,23.962187346738595,2.115542228885557,5.4340981290171415,7.647679004727114,76.76995537927615,51.16360932077343,33.496796451453925,1018.5776804123713,1015.7648760330578,0.1959823615874571,2041,116,148,88,174,230,140,114,75,100,100,250,188,122,105,64,27,SW,-33.8814,150.744,Warm temperate,Other location
Ballarat,7.284865629420085,18.234276284771333,1.5237240075614369,5.4340981290171415,7.647679004727114,81.75083056478405,58.84742560226736,44.64194008559201,1018.1707641196014,1016.55486935867,0.2525918944392083,2122,371,200,28,5,8,86,255,141,208,95,91,153,176,109,70,126,N,-37.5622,143.8503,Cool temperate,Other location
Bendigo,8.524549763033175,21.429587482219063,1.556905552918842,3.7540540540540537,7.647679004727114,70.7561669829222,46.859174964438125,38.86749879980797,1018.0583055687767,1015.9226128266034,0.1777251184834123,2110,178,128,112,61,15,20,105,396,140,82,172,172,154,147,128,100,SSE,-36.757,144.2794,Warm temperate,Other location
Brisbane,16.374988631196,26.411874431301182,3.170339761248852,5.413111009593422,8.096908167974158,63.85733757383008,53.66043755697356,28.22943327239488,1018.2893732970028,1015.14438891413,0.2234332425068119,2202,24,92,255,322,410,177,187,129,28,27,61,111,250,88,13,28,E,-27.4698,153.0251,Humid/wet,Main city
Cairns,21.17686815801999,29.532889100428367,5.661007194244604,6.252294557097119,7.584178610804852,69.9719181342218,61.71156592099,38.11153662039253,1014.1221799143266,1011.0700618752976,0.3193717277486911,2101,83,140,159,160,125,199,696,332,146,15,0,6,12,13,5,10,SE,-16.9186,145.7781,Hot dry/interior,Other location
Canberra,6.790928093645485,20.9997491638796,1.7361764705882354,4.470934799685781,7.411938872970392,73.1115368241805,45.63407469576165,39.95924038906901,1019.018836689038,1016.2717925793472,0.1859590472210614,2393,156,36,63,169,214,103,64,51,119,32,28,21,110,252,662,313,NW,-35.2809,149.13,Cool temperate,Main city
Cobar,13.250742692860564,25.99344497607656,1.1014853857211309,6.792953200645508,8.944935064935065,54.891153081510936,33.624441132637855,36.60766246362755,1017.9048745173744,1015.2402315484806,0.1267942583732057,2090,85,121,144,149,149,124,66,77,139,180,295,204,107,90,79,81,SW,-31.4983,145.8344,Warm temperate,Other location
CoffsHarbour,14.453343023255814,23.9947138700291,5.2910063198833255,4.00870607028754,7.454777672658468,67.83066472586124,62.33641225085075,39.56648648648648,1018.247677522691,1015.885202991453,0.2947725072604066,2066,92,228,464,65,83,43,58,96,219,202,236,121,18,29,57,55,NE,-30.2963,153.1135,Humid/wet,Other location
Dartmoor,8.581337857489094,19.69612965650701,2.0426563257392147,3.3306532663316584,6.406579693703914,85.31776180698152,62.43003587903639,38.80590513068732,1018.1259922555664,1016.5923970944308,0.3125302370585389,2067,192,78,34,15,48,141,140,62,143,271,233,122,107,130,173,178,SSW,-37.9223,141.273,Cool temperate,Other location
