Location,direction,count,direction_order
Adelaide,N,184,0
Albany,N,0,0
Albury,N,117,0
AliceSprings,N,94,0
BadgerysCreek,N,116,0
Ballarat,N,371,0
Bendigo,N,178,0
Brisbane,N,24,0
Cairns,N,83,0
Canberra,N,156,0
Cobar,N,85,0
CoffsHarbour,N,92,0
Dartmoor,N,192,0
Darwin,N,206,0
GoldCoast,N,91,0
Hobart,N,117,0
Katherine,N,24,0
Launceston,N,170,0
Melbourne,N,527,0
MelbourneAirport,N,664,0
Mildura,N,188,0
Moree,N,74,0
MountGambier,N,275,0
MountGinini,N,32,0
Newcastle,N,0,0
Nhil,N,53,0
NorahHead,N,152,0
NorfolkIsland,N,65,0
Nuriootpa,N,70,0
PearceRAAF,N,54,0
Penrith,N,108,0
Perth,N,39,0
PerthAirport,N,60,0
Portland,N,147,0
Richmond,N,54,0
Sale,N,14,0
SalmonGums,N,153,0
Sydney,N,22,0
SydneyAirport,N,35,0
Townsville,N,90,0
Tuggeranong,N,235,0
Uluru,N,26,0
WaggaWagga,N,83,0
Walpole,N,43,0
Watsonia,N,412,0
Williamtown,N,12,0
Witchcliffe,N,154,0
Wollongong,N,85,0
Woomera,N,192,0
Adelaide,NNE,79,1
Albany,NNE,0,1
Albury,NNE,109,1
AliceSprings,NNE,41,1
BadgerysCreek,NNE,148,1
Ballarat,NNE,200,1
Bendigo,NNE,128,1
Brisbane,NNE,92,1
Cairns,NNE,140,1
Canberra,NNE,36,1
Cobar,NNE,121,1
CoffsHarbour,NNE,228,1
Dartmoor,NNE,78,1
Darwin,NNE,80,1
GoldCoast,NNE,242,1
Hobart,NNE,19,1
Katherine,NNE,25,1
Launceston,NNE,27,1
Melbourne,NNE,64,1
MelbourneAirport,NNE,84,1
Mildura,NNE,142,1
Moree,NNE,326,1
MountGambier,NNE,92,1
MountGinini,NNE,53,1
Newcastle,NNE,0,1
Nhil,NNE,16,1
NorahHead,NNE,304,1
NorfolkIsland,NNE,101,1
Nuriootpa,NNE,79,1
PearceRAAF,NNE,41,1
Penrith,NNE,142,1
Perth,NNE,93,1
PerthAirport,NNE,68,1
Portland,NNE,66,1
Richmond,NNE,76,1
Sale,NNE,16,1
SalmonGums,NNE,104,1
Sydney,NNE,103,1
SydneyAirport,NNE,146,1
Townsville,NNE,88,1
Tuggeranong,NNE,62,1
Uluru,NNE,21,1
WaggaWagga,NNE,50,1
Walpole,NNE,92,1
Watsonia,NNE,109,1
Williamtown,NNE,16,1
Witchcliffe,NNE,63,1
Wollongong,NNE,101,1
Woomera,NNE,114,1
Adelaide,NE,49,2
Albany,NE,0,2
Albury,NE,102,2
AliceSprings,NE,56,2
BadgerysCreek,NE,88,2
Ballarat,NE,28,2
Bendigo,NE,112,2
Brisbane,NE,255,2
Cairns,NE,159,2
Canberra,NE,63,2
Cobar,NE,144,2
CoffsHarbour,NE,464,2
Dartmoor,NE,34,2
Darwin,NE,74,2
GoldCoast,NE,106,2
Hobart,NE,21,2
Katherine,NE,44,2
Launceston,NE,11,2
Melbourne,NE,7,2
MelbourneAirport,NE,8,2
Mildura,NE,61,2
Moree,NE,220,2
MountGambier,NE,37,2
MountGinini,NE,52,2
Newcastle,NE,0,2
Nhil,NE,34,2
NorahHead,NE,264,2
NorfolkIsland,NE,112,2
Nuriootpa,NE,116,2
PearceRAAF,NE,52,2
Penrith,NE,133,2
Perth,NE,208,2
PerthAirport,NE,85,2
Portland,NE,17,2
Richmond,NE,174,2
Sale,NE,19,2
SalmonGums,NE,107,2
Sydney,NE,122,2
SydneyAirport,NE,274,2
Townsville,NE,369,2
Tuggeranong,NE,91,2
Uluru,NE,53,2
WaggaWagga,NE,77,2
Walpole,NE,105,2
Watsonia,NE,65,2
Williamtown,NE,74,2
Witchcliffe,NE,30,2
Wollongong,NE,334,2
Woomera,NE,68,2
Adelaide,ENE,54,3
Albany,ENE,0,3
Albury,ENE,114,3
AliceSprings,ENE,126,3
BadgerysCreek,ENE,174,3
Ballarat,ENE,5,3
